AREA_S_CD,AREA_NAME,POPULATION,DENSITY (PER SQ KM),CHILDREN,YOUTH,WORKING_AGE,PRE_RETIREMENT,SENIORS,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,WITHOUT_INCOME
78,Kensington-Chinatown (78),17945,11806,7,19,49,10,15,44216,61593,2.6
79,University (79),7607,5395,7,19,50,10,14,57847,103101,3.0
80,Palmerston-Little Italy (80),13826,9601,9,11,57,9,14,71168,107082,2.0
81,Trinity-Bellwoods (81),16556,9570,11,10,56,9,14,72226,90355,2.1
82,Niagara (82),31180,10156,7,8,75,6,5,79441,110064,1.6
83,Dufferin Grove (83),11785,8540,11,9,56,11,13,59099,82060,2.5
84,Little Portugal (84),15559,12859,9,11,62,8,10,66542,87453,2.1
85,South Parkdale (85),21849,9583,10,11,58,11,10,41761,60953,3.4
86,Roncesvalles (86),14974,9851,15,9,54,11,11,63130,96956,3.3
87,High Park-Swansea (87),23925,4893,15,9,49,12,14,82753,122603,3.1
88,High Park North (88),22162,11726,13,9,53,12,13,68116,101807,3.8
89,Runnymede-Bloor West Village (89),10070,6333,20,9,46,12,12,112128,139284,3.7
90,Junction Area (90),14366,5442,15,10,52,13,11,73720,96627,3.6
91,Weston-Pellam Park (91),11098,7601,15,13,47,13,12,59682,78988,4.8
92,Corso Italia-Davenport (92),14133,7478,14,11,49,13,14,71434,90076,3.7
93,Dovercourt-Wallace Emerson-Junction (93),36625,9819,12,11,54,11,12,64331,82334,3.3
94,Wychwood (94),14349,8541,14,10,48,11,16,66089,96002,3.0
95,Annex (95),30526,10863,8,12,51,11,17,71053,126750,2.6
96,Casa Loma (96),10968,5683,11,10,41,13,24,93022,147940,2.8
97,Yonge-St.Clair (97),12528,10708,10,8,48,12,23,80136,131163,2.7
98,Rosedale-Moore Park (98),20923,4500,13,10,38,15,24,106740,179068,4.0
99,Mount Pleasant East (99),16775,5411,18,10,46,12,15,93566,152161,4.4
100,Yonge-Eglinton (100),11817,7162,15,10,49,12,14,80896,128900,4.4
101,Forest Hill South (101),1732,4380,12,12,40,15,21,94536,183174,2.5
102,Forest Hill North (102),12806,8054,16,12,43,14,16,70920,100785,3.7
103,Lawrence Park South (103),15179,4685,19,13,40,13,14,151885,212500,4.6
104,Mount Pleasant West (104),29658,21969,8,9,59,10,13,61839,86910,3.6
105,Lawrence Park North (105),14607,6407,23,12,41,12,13,144963,190036,4.2
106,Humewood-Cedarvale (106),14365,7682,15,11,49,12,13,61440,97356,3.3
107,Oakwood Village (107),21210,9511,15,11,45,12,17,58216,77522,4.0
108,Briar Hill-Belgravia (108),14257,7791,13,12,47,13,15,60899,76556,4.4
109,Caledonia-Fairbank (109),9955,6464,15,12,46,14,13,66048,80943,4.6
110,Keelesdale-Eglinton West (110),11058,6467,15,13,44,13,16,57780,72956,5.6
111,Rockcliffe-Smythe (111),22246,4414,16,12,42,14,16,54908,70340,5.1
112,Beechborough-Greenbrook (112),6577,3614,18,13,43,13,13,45211,61960,6.5
113,Weston (113),17992,7197,17,12,44,14,13,45695,64667,5.1
114,Lambton Baby Point (114),7985,4697,21,11,42,13,13,84414,120168,5.6
115,Mount Dennis (115),13593,6442,18,14,45,13,11,52162,59721,5.4
116,Steeles (116),24623,5436,13,11,39,14,22,66719,68753,4.7
117,L'Amoreaux (117),43993,6144,14,13,40,14,20,59445,65998,5.3
118,Tam O'Shanter-Sullivan (118),27446,5073,14,12,39,13,21,58246,69304,5.2
119,Wexford\/Maryvale (119),27917,2724,15,13,42,14,16,62837,74857,5.2
120,Clairlea-Birchmount (120),26984,3632,17,13,45,13,12,68524,79980,5.7
121,Oakridge (121),13845,7444,21,12,44,12,11,39757,48503,6.4
122,Birchcliffe-Cliffside (122),22291,3765,15,11,42,16,16,73216,100807,4.3
123,Cliffcrest (123),15935,2273,16,13,39,15,17,75291,92952,5.7
124,Kennedy Park (124),17123,4770,16,13,41,15,15,51028,64826,5.7
125,Ionview (125),13641,7031,17,13,44,12,14,53177,62069,6.9
126,Dorset Park (126),25003,4146,17,13,43,14,13,57986,66989,5.6
127,Bendale (127),29960,4011,15,16,41,12,16,60292,71842,5.9
128,Agincourt South-Malvern West (128),23757,3034,13,14,42,14,16,61992,68716,5.1
129,Agincourt North (129),29113,3929,13,13,39,14,20,64686,68026,6.0
130,Milliken (130),26572,2830,14,12,40,15,18,65861,65240,5.5
131,Rouge (131),46496,1260,17,15,40,14,14,92457,97771,5.9
132,Malvern (132),43794,4948,18,15,41,13,13,64114,70001,6.5
133,Centennial Scarborough (133),13362,2479,16,14,38,15,18,114897,125222,4.5
134,Highland Creek (134),12494,2403,12,15,38,15,19,102740,109498,4.8
135,Morningside (135),17455,3041,17,16,40,13,14,59963,70112,5.5
136,West Hill (136),27392,2856,17,14,40,14,15,56051,72835,6.0
137,Woburn (137),53485,4345,18,14,41,12,15,56186,65225,6.3
138,Eglinton East (138),22776,7051,19,14,41,13,14,53081,62451,5.9
139,Scarborough Village (139),16724,5395,20,15,40,13,12,49568,55321,6.9
140,Guildwood (140),9917,2673,13,11,35,16,25,87538,111353,4.2
